,name,lat,temp
350,faanui,-16.4833,27.62
351,peace river,56.2501,-8.0
352,bukan,36.521,12.13
353,porosozero,62.7191,-1.79
354,margate,51.3813,6.73
355,caravelas,-17.7125,24.16
356,gelemso,8.8167,16.36
357,san juan,-31.5375,22.03
358,ulladulla,-35.35,13.47
359,vestmannaeyjar,63.4427,6.82
360,sao felix do xingu,-6.6447,23.06
361,ilo,-17.6394,19.47
362,dera bugti,29.0307,27.1
363,dutlwe,-23.9833,20.18
364,oistins,13.0667,27.0
365,sao filipe,14.8961,22.6
366,saldanha,-33.0117,15.0
367,kastamonu,41.5,8.8
368,aksha,50.2814,-2.36
369,puerto madryn,-42.7692,19.71
370,dembi dolo,8.5333,15.2
371,kalmunai,7.4167,26.05
372,bilma,18.6853,29.82
373,manadhoo,5.7667,28.62
374,carballo,43.213,10.86
375,sabang,5.8933,28.24
376,wainwright,52.839,2.84
377,ajaccio,42.0,14.0
378,biltine,14.5333,29.24
379,beian,63.6559,1.79
380,falam,22.9167,16.44
381,mitchell,43.7094,16.51
382,manta,-0.95,27.0
383,birjand,32.8663,21.0
384,tynda,55.1667,-3.72
385,el juncal,15.45,30.0
386,martinopolis,-22.1458,23.0
387,erdaojiang,41.7764,9.06
388,egvekinot,66.3167,-3.14
389,la venta del astillero,20.7167,28.02
390,talnakh,69.4865,-2.39
391,nha trang,12.25,26.0
392,vila franca do campo,37.7167,15.0
393,iqaluit,63.7506,-4.23
394,fort nelson,58.8053,-8.0
395,mahebourg,-20.4081,24.0
396,kuppam,12.75,23.79
397,kopavogur,64.1123,5.73
398,tahoua,14.8888,34.0
399,tura,25.5198,24.16
400,klaksvik,62.2266,4.0
401,hovd,48.0056,6.06
402,mkushi,-13.6202,17.15
403,ponta delgada,37.7333,15.0
404,bijapur,16.8333,27.92
405,tomatlan,19.9333,30.45
406,kota kinabalu,5.9749,23.95
407,vilhena,-12.7406,23.0
408,ust-maya,60.4167,1.11
409,rexburg,43.826,13.74
410,nordhausen,51.5167,6.11
411,nizhniy kuranakh,58.8353,-6.91
412,nanortalik,60.1432,0.79
413,arlit,18.7369,32.9
414,artyom,40.4723,11.0
415,bereda,43.2686,9.81
416,solnechnyy,50.7214,8.06
417,asfi,32.2994,17.35
418,amur,54.0,5.6
419,lukovo,41.3494,10.3
420,rocha,-34.4833,11.52
421,boa vista,2.8197,26.0
422,geraldton,-28.7667,13.0
423,mbaiki,3.8678,21.52
424,kilindoni,-7.9139,26.77
425,grand gaube,-20.0064,25.0
426,makurdi,7.7411,28.66
427,pachino,36.7186,13.09
428,kavieng,-2.5744,28.71
429,dwarka,22.2394,26.76
430,warrington,53.3925,7.59
431,rapid valley,44.0625,12.48
432,ondjiva,-17.0667,21.83
433,obama,35.4958,12.05
434,yining,29.0361,16.92
435,vostok,46.4856,5.95
436,vicuna,-30.0319,20.0
437,sao joao da barra,-21.6403,25.0
438,marzuq,14.4,21.66
439,hami,42.8,12.18
440,ramsar,36.9226,15.0
441,gravelbourg,49.8834,18.0
442,barao de melgaco,-16.1944,28.0
443,gweta,-20.1833,21.23
444,san carlos,9.6612,26.01
445,hvide sande,56.0045,2.78
446,hay river,60.8156,-9.51
447,valdivia,-39.8142,16.0
448,sibolga,1.7427,24.37
449,yetkul,54.8221,7.0
450,quatre cocos,-20.2078,24.52
451,caririacu,-7.0422,27.0
